compound_id,receptor_id,pose_rank,score_kcal_mol,rmsd_lb,rmsd_ub,pose_file,error
3_5_DHBA,9KT9,3,-5.538,9.517,10.573,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_5_DHBA.pdbqt,
3_5_DHBA,9KT9,4,-5.508,9.503,10.771,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_5_DHBA.pdbqt,
3_5_DHBA,9KT9,5,-5.385,9.321,10.099,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_5_DHBA.pdbqt,
3_OBA,9KT9,1,-4.013,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_OBA.pdbqt,
3_OBA,9KT9,2,-3.746,9.056,9.933,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_OBA.pdbqt,
3_OBA,9KT9,3,-3.727,8.219,8.861,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_OBA.pdbqt,
3_OBA,9KT9,4,-3.675,8.239,9.126,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_OBA.pdbqt,
3_OBA,9KT9,5,-3.656,11.326,12.787,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/9KT9/3_OBA.pdbqt,
AZ1_GPR81_agonist_2,8Z8A,1,-3.94,0.0,0.0,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,
AZ1_GPR81_agonist_2,8Z8A,2,-3.847,1.194,1.358,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,
AZ1_GPR81_agonist_2,8Z8A,3,-2.976,2.171,3.353,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,
AZ1_GPR81_agonist_2,8Z8A,4,-2.146,2.146,3.219,/das/user/QYJI/druggability/data/gpr81_phase1/phase3_docking/poses/8Z8A/AZ1_GPR81_agonist_2.pdbqt,
