compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
22,8Z8A,1,2,0.329,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt
22,8Z8A,1,3,0.353,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt
22,8Z8A,1,4,1.4,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt
22,8Z8A,1,5,1.66,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt
23,8Z8A,20260803,1,-6.963,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt
23,8Z8A,20260803,2,-5.265,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt
23,8Z8A,20260803,3,-5.104,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt
23,8Z8A,20260803,4,-4.534,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt
23,8Z8A,20260803,5,-4.48,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed20260803.pdbqt
23,8Z8A,1,1,-4.866,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt
23,8Z8A,1,2,-4.637,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt
23,8Z8A,1,3,-4.064,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt
23,8Z8A,1,4,-3.82,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt
23,8Z8A,1,5,-3.79,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c23_8Z8A_seed1.pdbqt
24,8Z8A,20260803,1,-6.715,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt
24,8Z8A,20260803,2,-5.326,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt
24,8Z8A,20260803,3,-5.174,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt
24,8Z8A,20260803,4,-4.851,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt
24,8Z8A,20260803,5,-4.609,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed20260803.pdbqt
24,8Z8A,1,1,-6.111,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt
24,8Z8A,1,2,-5.98,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt
24,8Z8A,1,3,-5.967,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt
24,8Z8A,1,4,-5.637,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt
24,8Z8A,1,5,-3.552,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c24_8Z8A_seed1.pdbqt
25,8Z8A,20260803,1,-4.638,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed20260803.pdbqt
25,8Z8A,20260803,2,-4.173,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed20260803.pdbqt
25,8Z8A,20260803,3,-3.847,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed20260803.pdbqt
25,8Z8A,1,1,-4.591,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed1.pdbqt
25,8Z8A,1,2,-4.101,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed1.pdbqt
25,8Z8A,1,3,-3.722,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c25_8Z8A_seed1.pdbqt
26,8Z8A,20260803,1,-7.183,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt
26,8Z8A,20260803,2,-6.854,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt
26,8Z8A,20260803,3,-6.291,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt
26,8Z8A,20260803,4,-5.966,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt
26,8Z8A,20260803,5,-5.873,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed20260803.pdbqt
26,8Z8A,1,1,-7.178,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed1.pdbqt
26,8Z8A,1,2,-6.886,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed1.pdbqt
26,8Z8A,1,3,-5.499,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c26_8Z8A_seed1.pdbqt
27,8Z8A,20260803,1,-6.577,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt
27,8Z8A,20260803,2,-6.268,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt
27,8Z8A,20260803,3,-5.761,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt
27,8Z8A,20260803,4,-5.037,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt
27,8Z8A,20260803,5,-4.492,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed20260803.pdbqt
27,8Z8A,1,1,-5.615,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed1.pdbqt
27,8Z8A,1,2,-4.988,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed1.pdbqt
27,8Z8A,1,3,-3.249,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c27_8Z8A_seed1.pdbqt
28,8Z8A,20260803,1,-7.346,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed20260803.pdbqt
28,8Z8A,20260803,2,-6.952,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed20260803.pdbqt
28,8Z8A,1,1,-7.443,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed1.pdbqt
28,8Z8A,1,2,-7.013,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed1.pdbqt
28,8Z8A,1,3,-5.339,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c28_8Z8A_seed1.pdbqt
29,8Z8A,20260803,1,-7.478,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed20260803.pdbqt
29,8Z8A,20260803,2,-7.393,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed20260803.pdbqt
29,8Z8A,1,1,-7.749,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed1.pdbqt
29,8Z8A,1,2,-7.596,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed1.pdbqt
29,8Z8A,1,3,-6.114,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c29_8Z8A_seed1.pdbqt
30,8Z8A,20260803,1,3.309,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed20260803.pdbqt
30,8Z8A,20260803,2,4.014,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed20260803.pdbqt
30,8Z8A,20260803,3,5.693,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed20260803.pdbqt
30,8Z8A,1,1,-5.811,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c30_8Z8A_seed1.pdbqt
31,8Z8A,20260803,1,-2.817,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed20260803.pdbqt
31,8Z8A,20260803,2,-0.975,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed20260803.pdbqt
31,8Z8A,1,1,-2.832,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed1.pdbqt
31,8Z8A,1,2,-1.376,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c31_8Z8A_seed1.pdbqt
32,8Z8A,20260803,1,-4.233,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed20260803.pdbqt
32,8Z8A,20260803,2,-2.902,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed20260803.pdbqt
32,8Z8A,20260803,3,-1.848,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed20260803.pdbqt
32,8Z8A,1,1,-4.236,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed1.pdbqt
32,8Z8A,1,2,-1.926,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed1.pdbqt
32,8Z8A,1,3,-1.84,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c32_8Z8A_seed1.pdbqt
33,8Z8A,20260803,1,-3.402,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt
33,8Z8A,20260803,2,-3.359,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt
33,8Z8A,20260803,3,-3.299,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt
33,8Z8A,20260803,4,-2.049,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt
33,8Z8A,20260803,5,-1.445,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed20260803.pdbqt
33,8Z8A,1,1,-3.413,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt
33,8Z8A,1,2,-3.398,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt
33,8Z8A,1,3,-1.945,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt
33,8Z8A,1,4,-1.828,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt
33,8Z8A,1,5,-1.603,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c33_8Z8A_seed1.pdbqt
34,8Z8A,20260803,1,-5.805,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt
34,8Z8A,20260803,2,-4.715,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt
34,8Z8A,20260803,3,-3.698,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt
34,8Z8A,20260803,4,-3.348,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed20260803.pdbqt
34,8Z8A,1,1,-5.733,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt
34,8Z8A,1,2,-5.017,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt
34,8Z8A,1,3,-4.694,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt
34,8Z8A,1,4,-3.921,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt
34,8Z8A,1,5,-3.316,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c34_8Z8A_seed1.pdbqt
35,8Z8A,20260803,1,-5.035,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed20260803.pdbqt
35,8Z8A,20260803,2,-4.263,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed20260803.pdbqt
35,8Z8A,20260803,3,-4.153,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed20260803.pdbqt
35,8Z8A,20260803,4,-2.612,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed20260803.pdbqt
35,8Z8A,1,1,-5.189,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt
35,8Z8A,1,2,-4.586,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt
35,8Z8A,1,3,-4.255,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt
35,8Z8A,1,4,-2.759,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c35_8Z8A_seed1.pdbqt
36,8Z8A,20260803,1,-5.038,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed20260803.pdbqt
36,8Z8A,20260803,2,-3.945,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed20260803.pdbqt
36,8Z8A,20260803,3,-3.273,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed20260803.pdbqt
36,8Z8A,20260803,4,-2.305,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed20260803.pdbqt
36,8Z8A,1,1,-5.152,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed1.pdbqt
36,8Z8A,1,2,-3.912,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed1.pdbqt
36,8Z8A,1,3,-2.552,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c36_8Z8A_seed1.pdbqt
37,8Z8A,20260803,1,-5.151,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt
37,8Z8A,20260803,2,-4.714,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt
37,8Z8A,20260803,3,-3.56,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt
37,8Z8A,20260803,4,-3.41,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed20260803.pdbqt
37,8Z8A,1,1,-5.043,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed1.pdbqt
37,8Z8A,1,2,-4.716,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed1.pdbqt
37,8Z8A,1,3,-3.511,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed1.pdbqt
37,8Z8A,1,4,-3.318,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c37_8Z8A_seed1.pdbqt
38,8Z8A,20260803,1,-4.096,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed20260803.pdbqt
38,8Z8A,20260803,2,-4.033,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed20260803.pdbqt
38,8Z8A,20260803,3,-2.524,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed20260803.pdbqt
38,8Z8A,20260803,4,-2.351,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed20260803.pdbqt
38,8Z8A,1,1,-4.491,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt
38,8Z8A,1,2,-3.732,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt
38,8Z8A,1,3,-2.888,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt
38,8Z8A,1,4,-2.826,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt
38,8Z8A,1,5,-1.693,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c38_8Z8A_seed1.pdbqt
39,8Z8A,20260803,1,-6.929,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed20260803.pdbqt
39,8Z8A,20260803,2,-5.921,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed20260803.pdbqt
39,8Z8A,20260803,3,-5.282,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed20260803.pdbqt
39,8Z8A,1,1,-6.979,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt
39,8Z8A,1,2,-6.408,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt
39,8Z8A,1,3,-5.958,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt
39,8Z8A,1,4,-5.256,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c39_8Z8A_seed1.pdbqt
1,9KT9,20260803,1,-2.802,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_9KT9_seed20260803.pdbqt
1,9KT9,20260803,2,0.186,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_9KT9_seed20260803.pdbqt
1,9KT9,1,1,3.082,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_9KT9_seed1.pdbqt
1,9KT9,1,2,4.575,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_9KT9_seed1.pdbqt
1,9KT9,1,3,5.407,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c01_9KT9_seed1.pdbqt
2,9KT9,20260803,1,1.518,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_9KT9_seed20260803.pdbqt
2,9KT9,20260803,2,3.144,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_9KT9_seed20260803.pdbqt
2,9KT9,20260803,3,3.759,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_9KT9_seed20260803.pdbqt
2,9KT9,1,1,1.506,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c02_9KT9_seed1.pdbqt
3,9KT9,20260803,1,-4.282,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_9KT9_seed20260803.pdbqt
3,9KT9,20260803,2,-3.573,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_9KT9_seed20260803.pdbqt
3,9KT9,1,1,-4.589,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_9KT9_seed1.pdbqt
3,9KT9,1,2,-4.17,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c03_9KT9_seed1.pdbqt
4,9KT9,20260803,1,1.683,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_9KT9_seed20260803.pdbqt
4,9KT9,20260803,2,2.927,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_9KT9_seed20260803.pdbqt
4,9KT9,1,1,1.499,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_9KT9_seed1.pdbqt
4,9KT9,1,2,3.541,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_9KT9_seed1.pdbqt
4,9KT9,1,3,4.251,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c04_9KT9_seed1.pdbqt
5,9KT9,20260803,1,0.876,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_9KT9_seed20260803.pdbqt
5,9KT9,20260803,2,1.549,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_9KT9_seed20260803.pdbqt
5,9KT9,20260803,3,3.317,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_9KT9_seed20260803.pdbqt
5,9KT9,20260803,4,3.365,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_9KT9_seed20260803.pdbqt
5,9KT9,1,1,-4.357,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c05_9KT9_seed1.pdbqt
6,9KT9,20260803,1,-0.327,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed20260803.pdbqt
6,9KT9,20260803,2,0.314,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed20260803.pdbqt
6,9KT9,20260803,3,1.609,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed20260803.pdbqt
6,9KT9,1,1,0.709,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed1.pdbqt
6,9KT9,1,2,1.82,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed1.pdbqt
6,9KT9,1,3,2.519,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed1.pdbqt
6,9KT9,1,4,2.919,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c06_9KT9_seed1.pdbqt
7,9KT9,20260803,1,-1.995,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed20260803.pdbqt
7,9KT9,20260803,2,-0.859,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed20260803.pdbqt
7,9KT9,20260803,3,-0.199,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed20260803.pdbqt
7,9KT9,20260803,4,0.246,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed20260803.pdbqt
7,9KT9,20260803,5,0.848,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed20260803.pdbqt
7,9KT9,1,1,-3.883,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed1.pdbqt
7,9KT9,1,2,-1.319,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c07_9KT9_seed1.pdbqt
8,9KT9,20260803,1,2.855,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed20260803.pdbqt
8,9KT9,20260803,2,4.132,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed20260803.pdbqt
8,9KT9,20260803,3,4.238,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed20260803.pdbqt
8,9KT9,20260803,4,5.253,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed20260803.pdbqt
8,9KT9,1,1,2.834,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed1.pdbqt
8,9KT9,1,2,4.123,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed1.pdbqt
8,9KT9,1,3,4.247,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed1.pdbqt
8,9KT9,1,4,5.268,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c08_9KT9_seed1.pdbqt
9,9KT9,20260803,1,-0.473,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed20260803.pdbqt
9,9KT9,20260803,2,1.168,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed20260803.pdbqt
9,9KT9,20260803,3,1.79,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed20260803.pdbqt
9,9KT9,1,1,-0.472,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed1.pdbqt
9,9KT9,1,2,1.181,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed1.pdbqt
9,9KT9,1,3,1.756,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c09_9KT9_seed1.pdbqt
10,9KT9,20260803,1,-5.974,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed20260803.pdbqt
10,9KT9,20260803,2,-5.132,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed20260803.pdbqt
10,9KT9,20260803,3,-4.735,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed20260803.pdbqt
10,9KT9,20260803,4,-4.459,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed20260803.pdbqt
10,9KT9,20260803,5,-4.145,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed20260803.pdbqt
10,9KT9,1,1,-4.99,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed1.pdbqt
10,9KT9,1,2,-4.966,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed1.pdbqt
10,9KT9,1,3,-4.638,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed1.pdbqt
10,9KT9,1,4,-4.252,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c10_9KT9_seed1.pdbqt
11,9KT9,20260803,1,-0.052,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_9KT9_seed20260803.pdbqt
11,9KT9,20260803,2,0.323,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c11_9KT9_seed20260803.pdbqt
