compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
CHBA,9KT9,2,8,-5.298,118.243,133.347,145.589
CHBA,9KT9,3,1,-5.875,117.963,138.384,157.535
CHBA,9KT9,3,2,-5.592,117.241,134.27,146.089
CHBA,9KT9,3,3,-5.504,119.552,132.616,149.62
CHBA,9KT9,3,4,-5.464,117.802,133.878,146.417
CHBA,9KT9,3,5,-5.441,119.591,133.144,148.477
CHBA,9KT9,3,6,-5.428,119.042,132.735,150.101
CHBA,9KT9,3,7,-5.373,115.392,132.178,144.2
CHBA,9KT9,3,8,-5.37,116.574,133.636,144.288
CHBA,9KT9,4,1,-5.908,118.068,138.384,157.466
CHBA,9KT9,4,2,-5.565,117.254,134.541,145.939
CHBA,9KT9,4,3,-5.522,119.488,132.797,149.63
CHBA,9KT9,4,4,-5.459,119.691,133.312,148.554
CHBA,9KT9,4,5,-5.451,117.706,133.982,146.488
CHBA,9KT9,4,6,-5.397,118.999,132.703,150.007
CHBA,9KT9,4,7,-5.377,116.463,133.586,144.42
CHBA,9KT9,4,8,-5.371,115.512,132.136,144.339
CHBA,9KT9,5,1,-5.614,117.269,134.248,145.907
CHBA,9KT9,5,2,-5.544,119.654,132.756,149.613
CHBA,9KT9,5,3,-5.458,119.472,133.356,148.449
CHBA,9KT9,5,4,-5.457,117.803,134.023,146.464
CHBA,9KT9,5,5,-5.436,118.994,132.711,150.167
CHBA,9KT9,5,6,-5.416,118.638,133.317,150.05
CHBA,9KT9,5,7,-5.396,115.4,132.178,144.351
CHBA,9KT9,5,8,-5.311,116.779,133.615,144.523
CHBA,9KT9,6,1,-5.893,117.919,138.513,157.349
CHBA,9KT9,6,2,-5.586,117.278,134.346,146.017
CHBA,9KT9,6,3,-5.537,119.694,132.709,149.614
CHBA,9KT9,6,4,-5.457,117.68,133.927,146.475
CHBA,9KT9,6,5,-5.351,118.116,140.401,155.821
CHBA,9KT9,6,6,-5.33,115.427,132.192,144.204
CHBA,9KT9,6,7,-5.309,116.679,133.569,144.558
CHBA,9KT9,6,8,-5.309,118.311,133.329,145.655
CHBA,9KT9,7,1,-5.911,118.115,138.405,157.475
CHBA,9KT9,7,2,-5.582,117.335,134.52,146.057
CHBA,9KT9,7,3,-5.525,119.584,132.742,149.638
CHBA,9KT9,7,4,-5.462,119.547,133.415,148.448
CHBA,9KT9,7,5,-5.453,117.815,133.889,146.578
CHBA,9KT9,7,6,-5.406,118.662,133.101,149.999
CHBA,9KT9,7,7,-5.339,116.676,133.692,144.344
CHBA,9KT9,7,8,-5.279,118.419,133.302,145.72
CHBA,8Z8A,20260803,1,-5.943,95.573,128.362,125.585
CHBA,8Z8A,20260803,2,-5.91,95.175,128.261,125.482
CHBA,8Z8A,20260803,3,-5.843,96.162,129.104,126.145
CHBA,8Z8A,20260803,4,-5.829,96.054,127.33,125.02
CHBA,8Z8A,20260803,5,-5.818,95.549,129.201,125.912
CHBA,8Z8A,20260803,6,-5.665,95.166,128.539,125.492
CHBA,8Z8A,20260803,7,-5.571,99.107,133.634,133.881
CHBA,8Z8A,20260803,8,-5.397,96.19,128.414,125.316
CHBA,8Z8A,1,1,-5.94,95.258,128.39,125.54
CHBA,8Z8A,1,2,-5.938,95.663,128.393,125.533
CHBA,8Z8A,1,3,-5.869,96.192,129.027,126.003
CHBA,8Z8A,1,4,-5.831,96.137,127.256,125.043
CHBA,8Z8A,1,5,-5.825,95.492,129.328,125.822
CHBA,8Z8A,1,6,-5.633,95.246,128.608,125.462
CHBA,8Z8A,1,7,-5.556,99.214,133.536,133.983
CHBA,8Z8A,1,8,-5.367,96.546,128.661,125.95
CHBA,8Z8A,2,1,-5.934,95.154,128.226,125.564
CHBA,8Z8A,2,2,-5.923,95.445,128.446,125.586
CHBA,8Z8A,2,3,-5.908,95.461,129.344,126.007
CHBA,8Z8A,2,4,-5.842,96.056,127.296,125.093
CHBA,8Z8A,2,5,-5.838,96.106,128.948,125.956
CHBA,8Z8A,2,6,-5.621,95.536,128.492,125.646
CHBA,8Z8A,2,7,-5.549,99.056,133.556,133.899
CHBA,8Z8A,2,8,-5.404,101.189,133.464,133.432
CHBA,8Z8A,3,1,-5.964,95.456,129.699,125.689
CHBA,8Z8A,3,2,-5.956,95.341,128.55,125.522
CHBA,8Z8A,3,3,-5.927,95.467,128.42,125.589
CHBA,8Z8A,3,4,-5.831,96.047,127.368,125.165
CHBA,8Z8A,3,5,-5.798,96.0,129.023,125.918
CHBA,8Z8A,3,6,-5.644,95.073,128.568,125.638
CHBA,8Z8A,3,7,-5.58,96.773,128.202,125.535
CHBA,8Z8A,3,8,-5.556,99.081,133.602,133.908
CHBA,8Z8A,4,1,-5.926,95.262,128.403,125.428
CHBA,8Z8A,4,2,-5.921,95.528,128.312,125.648
CHBA,8Z8A,4,3,-5.873,95.562,129.113,125.884
CHBA,8Z8A,4,4,-5.837,96.13,127.35,125.035
CHBA,8Z8A,4,5,-5.796,96.142,129.114,125.96
CHBA,8Z8A,4,6,-5.606,95.492,128.481,125.723
CHBA,8Z8A,4,7,-5.586,96.892,128.395,125.428
CHBA,8Z8A,4,8,-5.545,99.136,133.613,133.79
CHBA,8Z8A,5,1,-5.955,95.249,128.374,125.407
CHBA,8Z8A,5,2,-5.934,95.588,128.296,125.6
