compound,receptor,seed,pose_rank,score_kcal_mol
37,8Z87,20260803,4,8.844
37,8Z87,1,1,7.553
37,8Z87,1,2,8.183
37,8Z87,1,3,8.392
37,8Z87,1,4,9.637
37,8Z87,2,1,5.045
37,8Z87,3,1,7.778
37,8Z87,3,2,8.373
37,8Z87,3,3,8.493
37,8Z87,3,4,8.739
37,8Z87,3,5,9.498
37,8Z87,4,1,6.25
37,8Z87,4,2,7.305
37,8Z87,4,3,7.697
37,8Z87,4,4,7.902
37,8Z87,4,5,8.2
37,8Z87,5,1,8.132
37,8Z87,5,2,9.043
37,8Z87,5,3,9.751
37,8Z87,6,1,4.986
37,8Z87,6,2,6.238
37,8Z87,6,3,6.39
37,8Z87,6,4,6.407
37,8Z87,6,5,6.445
37,8Z87,7,1,4.995
37,8Z87,7,2,6.024
37,8Z87,7,3,6.428
37,8Z87,7,4,6.587
38,8Z87,20260803,1,8.435
38,8Z87,20260803,2,8.509
38,8Z87,20260803,3,9.769
38,8Z87,20260803,4,10.17
38,8Z87,1,1,7.94
38,8Z87,1,2,7.956
38,8Z87,1,3,8.0
38,8Z87,1,4,9.278
38,8Z87,1,5,10.185
38,8Z87,2,1,5.958
38,8Z87,2,2,7.356
38,8Z87,2,3,7.511
38,8Z87,2,4,7.772
38,8Z87,2,5,8.776
38,8Z87,3,1,8.255
38,8Z87,3,2,9.439
38,8Z87,3,3,9.611
38,8Z87,3,4,9.625
38,8Z87,4,1,7.957
38,8Z87,4,2,8.236
38,8Z87,4,3,8.344
38,8Z87,4,4,9.803
38,8Z87,5,1,8.57
38,8Z87,5,2,9.974
38,8Z87,6,1,7.889
38,8Z87,6,2,8.219
38,8Z87,6,3,9.016
38,8Z87,6,4,9.207
38,8Z87,6,5,9.862
38,8Z87,7,1,7.938
38,8Z87,7,2,9.208
38,8Z87,7,3,9.588
15,8Z8A,20260803,1,-6.861
15,8Z8A,20260803,2,-6.793
15,8Z8A,20260803,3,-6.415
15,8Z8A,20260803,4,-5.884
15,8Z8A,1,1,-7.044
15,8Z8A,1,2,-6.893
15,8Z8A,1,3,-6.704
15,8Z8A,1,4,-6.497
15,8Z8A,1,5,-5.544
15,8Z8A,2,1,-7.016
15,8Z8A,2,2,-6.828
15,8Z8A,2,3,-6.698
15,8Z8A,2,4,-6.449
15,8Z8A,2,5,-5.443
15,8Z8A,3,1,-7.015
15,8Z8A,3,2,-6.443
15,8Z8A,3,3,-5.882
15,8Z8A,3,4,-5.717
15,8Z8A,3,5,-4.276
15,8Z8A,4,1,-6.852
15,8Z8A,4,2,-6.805
15,8Z8A,4,3,-6.63
15,8Z8A,4,4,-6.447
15,8Z8A,4,5,-5.497
15,8Z8A,5,1,-6.829
15,8Z8A,5,2,-6.802
15,8Z8A,5,3,-6.668
15,8Z8A,5,4,-6.526
15,8Z8A,5,5,-5.585
15,8Z8A,6,1,-7.084
15,8Z8A,6,2,-6.823
15,8Z8A,6,3,-6.683
15,8Z8A,6,4,-6.497
15,8Z8A,6,5,-5.731
15,8Z8A,7,1,-7.049
15,8Z8A,7,2,-6.86
15,8Z8A,7,3,-6.779
15,8Z8A,7,4,-6.42
15,8Z8A,7,5,-5.284
21,8Z8A,20260803,1,-6.912
21,8Z8A,20260803,2,-6.324
21,8Z8A,20260803,3,-5.711
21,8Z8A,20260803,4,-4.597
21,8Z8A,20260803,5,-4.549
21,8Z8A,1,1,-6.781
21,8Z8A,1,2,-5.795
21,8Z8A,1,3,-4.464
21,8Z8A,1,4,-4.344
21,8Z8A,2,1,-6.952
21,8Z8A,2,2,-5.699
21,8Z8A,2,3,-4.582
21,8Z8A,2,4,-4.381
21,8Z8A,3,1,-6.846
21,8Z8A,3,2,-5.58
21,8Z8A,3,3,-4.54
21,8Z8A,3,4,-4.521
21,8Z8A,3,5,-4.325
21,8Z8A,4,1,-6.827
21,8Z8A,4,2,-6.304
21,8Z8A,4,3,-4.627
21,8Z8A,4,4,-4.449
21,8Z8A,4,5,-4.186
21,8Z8A,5,1,-5.465
21,8Z8A,5,2,-4.03
21,8Z8A,5,3,-3.877
21,8Z8A,5,4,-3.779
21,8Z8A,6,1,-6.895
21,8Z8A,6,2,-5.765
21,8Z8A,6,3,-4.775
21,8Z8A,6,4,-4.584
21,8Z8A,6,5,-4.561
21,8Z8A,7,1,-6.884
21,8Z8A,7,2,-4.585
21,8Z8A,7,3,-4.432
21,8Z8A,7,4,-4.401
21,8Z8A,7,5,-4.341
22,8Z8A,20260803,1,-4.834
22,8Z8A,1,1,-4.851
22,8Z8A,2,1,-4.843
22,8Z8A,3,1,-4.803
22,8Z8A,3,2,-2.016
22,8Z8A,4,1,-4.917
22,8Z8A,5,1,-4.896
22,8Z8A,6,1,-4.858
22,8Z8A,6,2,-2.036
22,8Z8A,7,1,-4.833
26,8Z8A,20260803,1,-7.183
26,8Z8A,20260803,2,-6.854
26,8Z8A,20260803,3,-6.371
26,8Z8A,20260803,4,-5.966
26,8Z8A,20260803,5,-5.837
26,8Z8A,1,1,-7.178
26,8Z8A,1,2,-6.886
26,8Z8A,1,3,-6.596
26,8Z8A,1,4,-5.899
26,8Z8A,1,5,-5.499
26,8Z8A,2,1,-7.148
26,8Z8A,2,2,-6.848
26,8Z8A,2,3,-5.839
26,8Z8A,2,4,-5.404
26,8Z8A,2,5,-5.048
26,8Z8A,3,1,-7.25
26,8Z8A,3,2,-6.964
26,8Z8A,3,3,-5.919
26,8Z8A,3,4,-5.91
26,8Z8A,3,5,-5.537
26,8Z8A,4,1,-7.173
26,8Z8A,4,2,-6.891
26,8Z8A,4,3,-5.79
26,8Z8A,4,4,-5.73
26,8Z8A,4,5,-5.436
26,8Z8A,5,1,-7.183
26,8Z8A,5,2,-6.839
26,8Z8A,5,3,-6.443
26,8Z8A,5,4,-5.847
26,8Z8A,5,5,-5.503
26,8Z8A,6,1,-7.165
26,8Z8A,6,2,-6.903
26,8Z8A,6,3,-5.92
26,8Z8A,6,4,-5.849
26,8Z8A,6,5,-5.652
26,8Z8A,7,1,-6.605
26,8Z8A,7,2,-5.925
26,8Z8A,7,3,-5.482
26,8Z8A,7,4,-3.996
28,8Z8A,20260803,1,-7.346
28,8Z8A,20260803,2,-6.952
28,8Z8A,20260803,3,-5.272
28,8Z8A,1,1,-7.443
28,8Z8A,1,2,-7.013
