entry_id,name,smiles,ec50_nM,emax_pct,boltz_job_id,boltz_result_url,boltz_exit_code,boltz_affinity_pred_value,boltz_affinity_probability_binary,boltz_confidence_score,boltz_ligand_iptm,boltz_complex_ipde,error
c01,Davidsson 2020 compound 1,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,23.0,,f11aa28d-dd24-4cf9-9091-a6ee55948fe9,https://biolib.corp.novocorp.net/results/f11aa28d-dd24-4cf9-9091-a6ee55948fe9/,0,-1.3746185302734375,0.452877402305603,0.7800961136817932,0.8648126125335693,1.6001839637756348,
c02,Davidsson 2020 compound 2,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,74.0,,74c79de3-1b32-4504-8cff-bcd6d8b022a3,https://biolib.corp.novocorp.net/results/74c79de3-1b32-4504-8cff-bcd6d8b022a3/,0,-0.9190517663955688,0.2586272656917572,0.8211199045181274,0.9214555025100708,1.29713773727417,
c03,Davidsson 2020 compound 3,CCOc1cc(C)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,3.7,,4d225321-b851-41f6-bdd7-e96d8cda3cc8,https://biolib.corp.novocorp.net/results/4d225321-b851-41f6-bdd7-e96d8cda3cc8/,0,-0.115895576775074,0.1057925820350647,0.8191276788711548,0.905204713344574,1.361725926399231,
c05,Davidsson 2020 compound 5,CCOc1cc(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc(N2CCOCC2)c1,0.74,47,58f2378e-8985-43ef-8873-71dbc03b8dd1,https://biolib.corp.novocorp.net/results/58f2378e-8985-43ef-8873-71dbc03b8dd1/,0,-0.28239676356315613,0.13030578196048737,0.8252162933349609,0.921225905418396,1.2039715051651,
c04,Davidsson 2020 compound 4,CCOc1cc(C(F)(F)F)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,1.4,,fb59d307-6c85-4a7b-a210-613dcc72ac9d,https://biolib.corp.novocorp.net/results/fb59d307-6c85-4a7b-a210-613dcc72ac9d/,0,-0.6591058969497681,0.19361649453639984,0.8345341086387634,0.9316819906234741,1.0912272930145264,
c06,Davidsson 2020 compound 6,Cc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1-n1cccn1,6.1000000000000005,70,80bc1244-fd2b-43aa-834b-eab7b8706b35,https://biolib.corp.novocorp.net/results/80bc1244-fd2b-43aa-834b-eab7b8706b35/,0,0.254827618598938,0.2799091935157776,0.8509020209312439,0.9485436677932739,0.9671279191970825,
c07,Davidsson 2020 compound 7,FC1=CC(Cl)=C(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)C=C1-n1cccn1,3.6,70,cd23f842-93cc-491e-bef3-a5ce4b0de2b6,https://biolib.corp.novocorp.net/results/cd23f842-93cc-491e-bef3-a5ce4b0de2b6/,0,-0.033991873264312744,0.21453365683555603,0.827917754650116,0.9189918041229248,1.4107168912887573,
c08,Davidsson 2020 compound 8,Clc1cc(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc(-n2cccn2)c1,7.0,74,f8ecfc2c-ecdc-4ad7-bea6-a8a5780c0aed,https://biolib.corp.novocorp.net/results/f8ecfc2c-ecdc-4ad7-bea6-a8a5780c0aed/,0,0.4086746871471405,0.49022769927978516,0.846125602722168,0.911202609539032,1.3779021501541138,
c09,Davidsson 2020 compound 9,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOC(C)C1,32.0,,7a69dfb9-bcd2-4e30-bc06-a3c54aebe43c,https://biolib.corp.novocorp.net/results/7a69dfb9-bcd2-4e30-bc06-a3c54aebe43c/,0,-0.7393651604652405,0.2750939130783081,0.8455004692077637,0.9648831486701965,0.7069198489189148,
c10,Davidsson 2020 compound 10,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCCC1,13.0,,0eb34ee1-08ae-4895-89ee-1a9fb8992fca,https://biolib.corp.novocorp.net/results/0eb34ee1-08ae-4895-89ee-1a9fb8992fca/,0,-1.3030197620391846,0.45699524879455566,0.8161045908927917,0.947150707244873,0.9464676976203918,
c11,Davidsson 2020 compound 11,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccn1,19.0,,4b93b369-c594-4be6-8e6c-201ce94f098a,https://biolib.corp.novocorp.net/results/4b93b369-c594-4be6-8e6c-201ce94f098a/,0,-0.9600139856338501,0.2821611762046814,0.8092092871665955,0.9284258484840393,1.13295578956604,
c12,Davidsson 2020 compound 12,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-n1cccc1,22.0,,8e4367dd-b3df-45fd-8045-11d5762d9c30,https://biolib.corp.novocorp.net/results/8e4367dd-b3df-45fd-8045-11d5762d9c30/,0,-1.2948638200759888,0.46243590116500854,0.8367059826850891,0.9101858735084534,1.2414799928665161,
c13,Davidsson 2020 compound 13,CCOc1cc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1-c1cn[nH]c1,360.0,,04afd945-f311-495a-a55e-395d60243a1a,https://biolib.corp.novocorp.net/results/04afd945-f311-495a-a55e-395d60243a1a/,0,-0.9516792297363281,0.11318042874336243,0.8396348357200623,0.9523109793663025,0.9090209603309631,
