paper_compound_number,series,smiles,formula,calc_M_plus_H,si_M_plus_H,delta_mDa,paper_EC50_uM,status
28,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)CO)CC3)c(=O)[nH]c1,C25H27ClN4O5S,531.1463,531.151,-4.65,0.022,reconstructed_and_MS_validated
29,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)COC)CC3)c(=O)[nH]c1,C26H29ClN4O5S,545.162,545.1602,1.8,0.075,reconstructed_and_MS_validated
30,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)c(=O)[nH]c1,C30H33ClN4O5S2,629.1654,629.1681,-2.73,0.005,reconstructed_and_MS_validated
31,constrained_analogue_cyclic,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)[nH]c1=O,C29H32ClN5O5S2,630.1606,630.1653,-4.68,0.24,reconstructed_and_MS_validated
32,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H32ClN5O3S,530.1987,530.1981,0.62,0.41,reconstructed_and_MS_validated
33,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H31ClN4O5S2,579.1497,579.1517,-1.98,0.74,reconstructed_and_MS_validated
34,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(OC4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H31ClN4O4S,531.1827,531.1859,-3.17,0.11,reconstructed_and_MS_validated
35,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H36ClN5O5S2,622.1919,622.1929,-0.98,0.6,reconstructed_and_MS_validated
36,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCO[C@H](C)C1,C29H38ClN5O5S2,636.2076,636.2089,-1.33,0.16,reconstructed_and_MS_validated
37,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@H](C)O[C@@H](C)C1,C30H40ClN5O5S2,650.2232,650.2261,-2.88,0.35,reconstructed_and_MS_validated
38,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@@H](C)O[C@@H](C)C1,C30H40ClN5O5S2,650.2232,650.2248,-1.58,0.054,reconstructed_and_MS_validated
39,amide,CCOc1cc(Cl)c(C(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,C20H20ClN3O3S,418.0987,418.0996,-0.93,1.9,reconstructed_and_MS_validated
