paper_compound_number,series,source_table,smiles,formula,calc_M_plus_H,si_M_plus_H,delta_mDa,MW,InChIKey,EC50_uM,status,notes
28,constrained_analogue,Table 7,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)CO)CC3)c(=O)[nH]c1,C25H27ClN4O5S,531.1463,531.151,-4.65,531.03,JQPNKBGRHGYXTN-UHFFFAOYSA-N,0.022,reconstructed_and_MS_validated,Pyridone/pyrimidone bioisosteres; 28 and 30 are especially potent.
29,constrained_analogue,Table 7,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3c(s2)CN(C(=O)COC)CC3)c(=O)[nH]c1,C26H29ClN4O5S,545.162,545.1602,1.8,545.06,QKYHGYSYQFQSJJ-UHFFFAOYSA-N,0.075,reconstructed_and_MS_validated,
30,constrained_analogue,Table 7,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)c(=O)[nH]c1,C30H33ClN4O5S2,629.1654,629.1681,-2.73,629.2,ZFCWDVNSGGWKKZ-UHFFFAOYSA-N,0.005,reconstructed_and_MS_validated,Pyridone/pyrimidone bioisosteres; 28 and 30 are especially potent.
31,constrained_analogue,Table 7,CCOc1cc(Cl)cc(N2CCOCC2)c1-c1cnc(-c2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)[nH]c1=O,C29H32ClN5O5S2,630.1606,630.1653,-4.68,630.19,IWZPMUOHRPCIBQ-UHFFFAOYSA-N,0.24,reconstructed_and_MS_validated,
32,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(CN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H32ClN5O3S,530.1987,530.1981,0.62,530.09,OFCNWKRWXKFYNW-UHFFFAOYSA-N,0.41,reconstructed_and_MS_validated,
33,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)C4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H31ClN4O5S2,579.1497,579.1517,-1.98,579.14,KQVHRFLOJTVHON-UHFFFAOYSA-N,0.74,reconstructed_and_MS_validated,
34,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(OC4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C26H31ClN4O4S,531.1827,531.1859,-3.17,531.08,GOWIGCYUKIGMHY-UHFFFAOYSA-N,0.11,reconstructed_and_MS_validated,
35,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCOCC1,C28H36ClN5O5S2,622.1919,622.1929,-0.98,622.21,BOLHPHFIRKJXMT-UHFFFAOYSA-N,0.60,reconstructed_and_MS_validated,
36,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1CCO[C@H](C)C1,C29H38ClN5O5S2,636.2076,636.2089,-1.33,636.24,CGNPOKNBKXLUSH-HXUWFJFHSA-N,0.16,reconstructed_and_MS_validated,
37,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@H](C)O[C@@H](C)C1,C30H40ClN5O5S2,650.2232,650.2261,-2.88,650.27,WCFUZKVSNQNKIS-SFTDATJTSA-N,0.35 / 0.27,reconstructed_and_MS_validated,
38,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)cc1N1C[C@@H](C)O[C@@H](C)C1,C30H40ClN5O5S2,650.2232,650.2248,-1.58,650.27,WCFUZKVSNQNKIS-OYRHEFFESA-N,0.054,reconstructed_and_MS_validated,Amide series; 38 is a notable potent/selective example.
39,amide,Table 8,CCOc1cc(Cl)c(C(=O)Nc2nc3ccccc3s2)cc1N1CCOCC1,C20H20ClN3O3S,418.0987,418.0996,-0.93,417.92,GZPHANAWJQENLY-UHFFFAOYSA-N,1.9,reconstructed_and_MS_validated,
