compound,receptor,seed,pose_rank,score_kcal_mol,centroid_distance_A,pose_file
3_OBA,9KT9,20260803,2,-3.905,1.844,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed20260803.pdbqt
3_OBA,9KT9,20260803,3,-3.879,2.431,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed20260803.pdbqt
3_OBA,9KT9,20260803,4,-3.837,3.376,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed20260803.pdbqt
3_OBA,9KT9,20260803,5,-3.677,0.969,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed20260803.pdbqt
3_OBA,9KT9,1,1,-3.935,4.489,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed1.pdbqt
3_OBA,9KT9,1,2,-3.901,1.888,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed1.pdbqt
3_OBA,9KT9,1,3,-3.876,3.453,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed1.pdbqt
3_OBA,9KT9,1,4,-3.85,2.554,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed1.pdbqt
3_OBA,9KT9,1,5,-3.84,2.471,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed1.pdbqt
3_OBA,9KT9,2,1,-3.937,4.587,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed2.pdbqt
3_OBA,9KT9,2,2,-3.909,1.849,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed2.pdbqt
3_OBA,9KT9,2,3,-3.907,1.875,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed2.pdbqt
3_OBA,9KT9,2,4,-3.841,3.464,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed2.pdbqt
3_OBA,9KT9,2,5,-3.838,2.444,/das/user/QYJI/druggability/data/gpr81_phase1/phase5_tightbox/poses/3_OBA_9KT9_tight_seed2.pdbqt
